"shapeid","x","y","field_1","field_2","field_3"
"3081","77.9347977486445","13.1771900018739","13.1771900018739","77.9347977486445","Bylanarasapura"
"3082","77.958477","13.188419","13.188419","77.958477","Korati"
"3083","77.78691","13.072233","13.072233","77.78691","Hoskote_KEB_Circle"
"3084","77.807153899071","13.0599140921022","13.0599140921022","77.807153899071","Kannura_halli"
"3085","77.8116483395921","13.0507529109234","13.0507529109234","77.8116483395921","CHIMANDAHALLI"
"3086","77.863040166","13.1186813582","13.1186813582","77.863040166","DODDANALLURAHALLI"
"3087","77.8207956448393","13.0330625501027","13.0330625501027","77.8207956448393","Jinnagara"
"3088","77.8261496071681","13.0298634311876","13.0298634311876","77.8261496071681","Jinnagara_Cross"
"3089","77.8358548041","13.0232109781","13.0232109781","77.8358548041","Vaghata_Near_Hoskote"
"3090","77.8431614796801","13.0086071597943","13.0086071597943","77.8431614796801","Paramanahalli"
"3091","77.8210433945","13.0242730491","13.0242730491","77.8210433945","Devashettyhalli"
"3092","77.850225616979","12.893409963423","12.893409963423","77.850225616979","Ganagaluru_Cross"
"3093","77.857308168683","13.0472735179239","13.0472735179239","77.857308168683","JADIGENAHALLI_HOSPITAL"
"3094","77.9045572731403","13.1258468783099","13.1258468783099","77.9045572731403","Chikkanahalli_Gate"
"3095","77.8873779862106","13.0372917539105","13.0372917539105","77.8873779862106","KATTIGENAHALLI_CROSS"
"3096","77.8646188307821","13.0454815878462","13.0454815878462","77.8646188307821","KARIBIRANAHOSAHALLI_GATE"
"3097","77.8717773057809","13.0120785342886","13.0120785342886","77.8717773057809","Bommanabande"
"3098","77.8262401794818","13.0296449024145","13.0296449024145","77.8262401794818","MALUR_CROSS"
"3099","77.7443324842524","13.1027425887623","13.1027425887623","77.7443324842524","Jyothipura_Gate"
"3100","77.7507793757705","13.102989952436","13.102989952436","77.7507793757705","Jyothipura"
"3101","77.535834","13.011395","13.011395","77.535834","Nandini_Layout"
"3102","77.61992","12.97323","12.97323","77.61992","Lido_Talkies"
"3103","77.637457","12.982971","12.982971","77.637457","Indiranagara_RTO_Office"
"3104","77.7335889637","12.9802809656","12.9802809656","77.7335889637","Pattanduru_Agrahara"
"3105","77.7533663407271","12.9796878255966","12.9796878255966","77.7533663407271","Ambedkar_nagara"
"3106","77.75051202","12.97374553","12.97374553","77.75051202","Saibaba_General_Hospital"
"3107","77.7527421992","12.9696201906","12.9696201906","77.7527421992","Gandipura"
"3108","77.7559808468891","12.9685471719344","12.9685471719344","77.7559808468891","HAGADUR"
"3109","77.761625958677","12.966808233802","12.966808233802","77.761625958677","Immadihalli"
"3110","77.768395317493","12.9832413921486","12.9832413921486","77.768395317493","Channasandra_Bus_Stand"
"3111","77.7713942672852","12.9753287170133","12.9753287170133","77.7713942672852","NAGAGONDANAHALLI"
"3112","77.7537937168072","12.9729328938118","12.9729328938118","77.7537937168072","GANDHIPURA"
"3113","77.802493237","12.9786324129","12.9786324129","77.802493237","Bodanahosahalli"
"3114","77.7999222114182","12.9651653540956","12.9651653540956","77.7999222114182","Naganaikna_kote"
"3115","77.799778621233","12.9652391558248","12.9652391558248","77.799778621233","Naganayakana_Kote_Cross"
"3116","77.7945588436","12.9663157091","12.9663157091","77.7945588436","Naganayakana_Kote_"
"3117","77.8001232325568","12.9693821347719","12.9693821347719","77.8001232325568","Ayurvedic_Hospital"
"3118","77.8107992384416","12.9487656126759","12.9487656126759","77.8107992384416","Edagonahalli"
"3119","77.8206632678285","12.9294252800135","12.9294252800135","77.8206632678285","Muthugadahalli"
"3120","77.8240826742866","12.915164198879","12.915164198879","77.8240826742866","Tattanur"
"3121","77.7473472727517","12.9401496461394","12.9401496461394","77.7473472727517","Varthuru_Gandhi_Circle"
"3122","77.7581457575097","12.9330005561518","12.9330005561518","77.7581457575097","HALASA_HALLI_CROSS "
"3123","77.7758218898161","12.9277976579928","12.9277976579928","77.7758218898161","Nekkundi_Dommasandra"
"3124","77.794420566484","12.912793034872","12.912793034872","77.794420566484","Gonighattapura"
"3125","77.79639476787","12.90765779672","12.90765779672","77.79639476787","Kamanahalli"
"3126","77.7861757317463","12.9241055842008","12.9241055842008","77.7861757317463","Janthagondanahalli"
"3127","77.7467583222656","12.9380603476155","12.9380603476155","77.7467583222656","Varthuru_Police_Station"
"3128","77.7604471307859","12.9323553246693","12.9323553246693","77.7604471307859","Vagdevi_School"
"3129","77.79627778","12.91766667","12.91766667","77.79627778","Maddappanahalli"
"3130","77.80118744838228","12.912440734666633","12.912440734666633","77.80118744838228","Janatha_Colony"
"3131","77.8084286599262","12.8995694519289","12.8995694519289","77.8084286599262","Kugur_Cross"
"3132","77.7546960259198","12.9182316249009","12.9182316249009","77.7546960259198","Thippasandra_Gate"
"3133","77.7657694028113","12.9151842450705","12.9151842450705","77.7657694028113","Kathruguppe"
"3134","77.7768020339197","12.9115731128396","12.9115731128396","77.7768020339197","Nerige"
"3135","77.7855116366818","12.9097899509087","12.9097899509087","77.7855116366818","Gonigattapura_Cross"
"3136","77.8209461644","12.8949037381","12.8949037381","77.8209461644","Mugaluru"
"3137","77.8286145759945","12.8959625375848","12.8959625375848","77.8286145759945","Thiruranga_Cross"
"3138","77.8266235627","12.9017763119","12.9017763119","77.8266235627","Thiruranga"
"3139","77.8014685895257","12.8884096408378","12.8884096408378","77.8014685895257","Koothaganahalli"
